Function,new?,test?,Help-page?
LDAstandard.R,x,x,
docLDA.R,x,x,
intruderTopics.R,x,x,
intruderWords.R,x,x,
makeClear.R,x,x,
makeWordlist.R,x,x,
mergeLDA.R,x,x,
readHBWiWo.R,x,x,
readNexis.R,x,x,
readNexisOnline.R,x,x,
readSPIEGEL.R,x,x,
readSZ.R,x,x,
removeXML.R,x,x,
showArticles.R,x,x,
showMetadata.R,x,x,
subcorpusDate.R,x,x,
subcorpusWords.R,x,x,
textmeta.R,x,x,
topArticles.R,x,x,
clusterTopics.R,x,x,
topicOverTime.R,x,x,
topicwordsOverTime.R,x,x,
tot.heat.R,,,
tot.relative.R,,,
readWORDPRESS,x,x,